23-08-21 17:42:18.421 : Beta-------------------------------->0
23-08-21 17:42:18.422 : Writing to denoising0.1_Omsi_1_rank_10_eta_0.95_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:42:18.422 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_0.95_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:42:25.261 : iteration: 117, psnr: 5.922822830146318, psnr_best: 5.930982007853318
23-08-21 17:42:25.303 : iteration: 118, psnr: 5.931040300785277, psnr_best: 5.931040300785277
23-08-21 17:42:25.321 : iteration: 119, psnr: 5.9258204247028035, psnr_best: 5.931040300785277
23-08-21 17:42:25.340 : iteration: 120, psnr: 5.931338922097979, psnr_best: 5.931338922097979
23-08-21 17:42:25.359 : iteration: 121, psnr: 5.929560541094894, psnr_best: 5.931338922097979
23-08-21 17:42:25.376 : iteration: 122, psnr: 5.9303037113608355, psnr_best: 5.931338922097979
23-08-21 17:42:25.396 : iteration: 123, psnr: 5.932845592070667, psnr_best: 5.932845592070667
23-08-21 17:42:25.424 : iteration: 124, psnr: 5.936409184354442, psnr_best: 5.936409184354442
23-08-21 17:42:25.446 : iteration: 125, psnr: 5.93565079206258, psnr_best: 5.936409184354442
23-08-21 17:42:25.464 : iteration: 126, psnr: 5.935714595684402, psnr_best: 5.936409184354442
23-08-21 17:42:25.482 : iteration: 127, psnr: 5.934212375693478, psnr_best: 5.936409184354442
23-08-21 17:42:25.502 : iteration: 128, psnr: 5.9377044866331525, psnr_best: 5.9377044866331525
23-08-21 17:42:25.521 : iteration: 129, psnr: 5.9350032713801255, psnr_best: 5.9377044866331525
23-08-21 17:42:25.542 : iteration: 130, psnr: 5.940831014596082, psnr_best: 5.940831014596082
23-08-21 17:42:25.567 : iteration: 131, psnr: 5.943467959604733, psnr_best: 5.943467959604733
23-08-21 17:42:25.585 : iteration: 132, psnr: 5.9416867402855, psnr_best: 5.943467959604733
23-08-21 17:42:25.603 : iteration: 133, psnr: 5.941147651261883, psnr_best: 5.943467959604733
23-08-21 17:42:25.624 : iteration: 134, psnr: 5.945167640872476, psnr_best: 5.945167640872476
23-08-21 17:42:25.642 : iteration: 135, psnr: 5.943650576169993, psnr_best: 5.945167640872476
23-08-21 17:42:25.659 : iteration: 136, psnr: 5.941361505085274, psnr_best: 5.945167640872476
23-08-21 17:42:25.677 : iteration: 137, psnr: 5.947077279827495, psnr_best: 5.947077279827495
23-08-21 17:42:25.695 : iteration: 138, psnr: 5.943402822422122, psnr_best: 5.947077279827495
23-08-21 17:42:25.714 : iteration: 139, psnr: 5.947067104171208, psnr_best: 5.947077279827495
23-08-21 17:42:25.742 : iteration: 140, psnr: 5.948135136336708, psnr_best: 5.948135136336708
23-08-21 17:42:25.760 : iteration: 141, psnr: 5.946781324571056, psnr_best: 5.948135136336708
23-08-21 17:42:25.779 : iteration: 142, psnr: 5.9559114926321115, psnr_best: 5.9559114926321115
23-08-21 17:42:25.796 : iteration: 143, psnr: 5.948257978156777, psnr_best: 5.9559114926321115
23-08-21 17:42:25.815 : iteration: 144, psnr: 5.9541088638557484, psnr_best: 5.9559114926321115
23-08-21 17:42:25.832 : iteration: 145, psnr: 5.952533445481915, psnr_best: 5.9559114926321115
23-08-21 17:42:25.850 : iteration: 146, psnr: 5.953788584841325, psnr_best: 5.9559114926321115
23-08-21 17:42:25.873 : iteration: 147, psnr: 5.959906623605246, psnr_best: 5.959906623605246
23-08-21 17:42:25.892 : iteration: 148, psnr: 5.961802689739137, psnr_best: 5.961802689739137
23-08-21 17:42:25.910 : iteration: 149, psnr: 5.9538436957862615, psnr_best: 5.961802689739137
23-08-21 17:42:25.928 : iteration: 150, psnr: 5.96000649344958, psnr_best: 5.961802689739137
23-08-21 17:42:25.951 : iteration: 151, psnr: 5.967237138487414, psnr_best: 5.967237138487414
23-08-21 17:42:25.969 : iteration: 152, psnr: 5.961238504098677, psnr_best: 5.967237138487414
23-08-21 17:42:26.004 : iteration: 153, psnr: 5.962043238829967, psnr_best: 5.967237138487414
23-08-21 17:42:26.042 : iteration: 154, psnr: 5.959597474527059, psnr_best: 5.967237138487414
23-08-21 17:42:26.093 : iteration: 155, psnr: 5.968908862529251, psnr_best: 5.968908862529251
23-08-21 17:42:26.110 : iteration: 156, psnr: 5.963614780286889, psnr_best: 5.968908862529251
23-08-21 17:42:26.129 : iteration: 157, psnr: 5.966922656244185, psnr_best: 5.968908862529251
23-08-21 17:42:26.148 : iteration: 158, psnr: 5.966162234694658, psnr_best: 5.968908862529251
23-08-21 17:42:26.166 : iteration: 159, psnr: 5.9647476436119655, psnr_best: 5.968908862529251
23-08-21 17:42:26.187 : iteration: 160, psnr: 5.9694611074481765, psnr_best: 5.9694611074481765
23-08-21 17:42:26.205 : iteration: 161, psnr: 5.96643307365696, psnr_best: 5.9694611074481765
23-08-21 17:42:26.227 : iteration: 162, psnr: 5.974027043539519, psnr_best: 5.974027043539519
23-08-21 17:42:26.245 : iteration: 163, psnr: 5.971174055877165, psnr_best: 5.974027043539519
23-08-21 17:42:26.264 : iteration: 164, psnr: 5.9695172551194275, psnr_best: 5.974027043539519
23-08-21 17:42:26.283 : iteration: 165, psnr: 5.973477202249829, psnr_best: 5.974027043539519
23-08-21 17:42:26.304 : iteration: 166, psnr: 5.977593821860726, psnr_best: 5.977593821860726
23-08-21 17:42:26.324 : iteration: 167, psnr: 5.973735169794515, psnr_best: 5.977593821860726
23-08-21 17:42:26.344 : iteration: 168, psnr: 5.972957363217697, psnr_best: 5.977593821860726
23-08-21 17:42:26.363 : iteration: 169, psnr: 5.974445368437314, psnr_best: 5.977593821860726
23-08-21 17:42:26.390 : iteration: 170, psnr: 5.978718908209695, psnr_best: 5.978718908209695
23-08-21 17:42:26.415 : iteration: 171, psnr: 5.9707685148996505, psnr_best: 5.978718908209695
23-08-21 17:42:26.441 : iteration: 172, psnr: 5.976362566631295, psnr_best: 5.978718908209695
23-08-21 17:42:26.472 : iteration: 173, psnr: 5.983092804739517, psnr_best: 5.983092804739517
23-08-21 17:42:26.493 : iteration: 174, psnr: 5.983483383686574, psnr_best: 5.983483383686574
23-08-21 17:42:26.522 : iteration: 175, psnr: 5.982022444565633, psnr_best: 5.983483383686574
23-08-21 17:42:26.541 : iteration: 176, psnr: 5.979779915980421, psnr_best: 5.983483383686574
23-08-21 17:42:26.563 : iteration: 177, psnr: 5.989679045121241, psnr_best: 5.989679045121241
23-08-21 17:42:26.583 : iteration: 178, psnr: 5.980101679190779, psnr_best: 5.989679045121241
23-08-21 17:42:26.600 : iteration: 179, psnr: 5.9878835280365905, psnr_best: 5.989679045121241
23-08-21 17:42:26.619 : iteration: 180, psnr: 5.9863151867962205, psnr_best: 5.989679045121241
23-08-21 17:42:26.650 : iteration: 181, psnr: 5.996377705953664, psnr_best: 5.996377705953664
23-08-21 17:42:26.676 : iteration: 182, psnr: 5.98726972473422, psnr_best: 5.996377705953664
23-08-21 17:42:26.701 : iteration: 183, psnr: 5.988856457859242, psnr_best: 5.996377705953664
23-08-21 17:42:26.721 : iteration: 184, psnr: 5.993253922832361, psnr_best: 5.996377705953664
23-08-21 17:42:26.739 : iteration: 185, psnr: 5.995304278325062, psnr_best: 5.996377705953664
23-08-21 17:42:26.761 : iteration: 186, psnr: 5.988637395189819, psnr_best: 5.996377705953664
23-08-21 17:42:26.792 : iteration: 187, psnr: 5.992312530594078, psnr_best: 5.996377705953664
23-08-21 17:42:26.821 : iteration: 188, psnr: 5.992437358119599, psnr_best: 5.996377705953664
23-08-21 17:42:26.844 : iteration: 189, psnr: 5.994073193328608, psnr_best: 5.996377705953664
23-08-21 17:42:26.867 : iteration: 190, psnr: 5.994007541543104, psnr_best: 5.996377705953664
23-08-21 17:42:26.894 : iteration: 191, psnr: 6.000836715263523, psnr_best: 6.000836715263523
23-08-21 17:42:26.921 : iteration: 192, psnr: 6.000487781756725, psnr_best: 6.000836715263523
23-08-21 17:42:26.962 : iteration: 193, psnr: 6.001538601452672, psnr_best: 6.001538601452672
23-08-21 17:42:26.979 : iteration: 194, psnr: 5.996970504059451, psnr_best: 6.001538601452672
23-08-21 17:42:26.997 : iteration: 195, psnr: 6.001316978438348, psnr_best: 6.001538601452672
23-08-21 17:42:27.017 : iteration: 196, psnr: 6.006302790589036, psnr_best: 6.006302790589036
23-08-21 17:42:27.038 : iteration: 197, psnr: 6.009543880780567, psnr_best: 6.009543880780567
23-08-21 17:42:27.056 : iteration: 198, psnr: 6.008483356360445, psnr_best: 6.009543880780567
23-08-21 17:42:27.075 : iteration: 199, psnr: 6.000073035182883, psnr_best: 6.009543880780567
23-08-21 17:42:27.094 : iteration: 200, psnr: 6.008122815119855, psnr_best: 6.009543880780567
23-08-21 17:42:27.113 : iteration: 201, psnr: 6.007432047399432, psnr_best: 6.009543880780567
23-08-21 17:42:27.131 : iteration: 202, psnr: 6.001341425257175, psnr_best: 6.009543880780567
23-08-21 17:42:27.149 : iteration: 203, psnr: 6.006641824338587, psnr_best: 6.009543880780567
23-08-21 17:42:27.167 : iteration: 204, psnr: 6.008573229592767, psnr_best: 6.009543880780567
23-08-21 17:42:27.187 : iteration: 205, psnr: 6.012879815175265, psnr_best: 6.012879815175265
23-08-21 17:42:27.207 : iteration: 206, psnr: 6.010280028572319, psnr_best: 6.012879815175265
23-08-21 17:42:27.251 : iteration: 207, psnr: 6.011951950546521, psnr_best: 6.012879815175265
23-08-21 17:42:27.313 : iteration: 208, psnr: 6.0245082314114855, psnr_best: 6.0245082314114855
23-08-21 17:42:27.336 : iteration: 209, psnr: 6.021036716364204, psnr_best: 6.0245082314114855
23-08-21 17:42:27.359 : iteration: 210, psnr: 6.01479958946449, psnr_best: 6.0245082314114855
23-08-21 17:42:27.387 : iteration: 211, psnr: 6.023210671520422, psnr_best: 6.0245082314114855
23-08-21 17:42:27.414 : iteration: 212, psnr: 6.020798308467451, psnr_best: 6.0245082314114855
23-08-21 17:42:27.439 : iteration: 213, psnr: 6.024923491311424, psnr_best: 6.024923491311424
23-08-21 17:42:27.457 : iteration: 214, psnr: 6.019071619352241, psnr_best: 6.024923491311424
23-08-21 17:42:27.475 : iteration: 215, psnr: 6.019459982487241, psnr_best: 6.024923491311424
23-08-21 17:42:27.492 : iteration: 216, psnr: 6.0228846799567055, psnr_best: 6.024923491311424
23-08-21 17:42:27.511 : iteration: 217, psnr: 6.025751607607937, psnr_best: 6.025751607607937
23-08-21 17:42:27.528 : iteration: 218, psnr: 6.022639722134102, psnr_best: 6.025751607607937
23-08-21 17:42:27.547 : iteration: 219, psnr: 6.0254427440011025, psnr_best: 6.025751607607937
23-08-21 17:42:27.567 : iteration: 220, psnr: 6.031787450067509, psnr_best: 6.031787450067509
23-08-21 17:42:27.589 : iteration: 221, psnr: 6.032689890909207, psnr_best: 6.032689890909207
23-08-21 17:42:27.609 : iteration: 222, psnr: 6.024569305659954, psnr_best: 6.032689890909207
23-08-21 17:42:27.631 : iteration: 223, psnr: 6.0336146468110465, psnr_best: 6.0336146468110465
23-08-21 17:42:27.648 : iteration: 224, psnr: 6.033308164560908, psnr_best: 6.0336146468110465
23-08-21 17:42:27.665 : iteration: 225, psnr: 6.028499824724021, psnr_best: 6.0336146468110465
23-08-21 17:42:27.683 : iteration: 226, psnr: 6.034657977400854, psnr_best: 6.034657977400854
23-08-21 17:42:27.715 : iteration: 227, psnr: 6.034256269241304, psnr_best: 6.034657977400854
23-08-21 17:42:27.741 : iteration: 228, psnr: 6.04310832879465, psnr_best: 6.04310832879465
23-08-21 17:42:27.767 : iteration: 229, psnr: 6.033979486137193, psnr_best: 6.04310832879465
23-08-21 17:42:27.784 : iteration: 230, psnr: 6.03598634985879, psnr_best: 6.04310832879465
23-08-21 17:42:27.801 : iteration: 231, psnr: 6.036415378790386, psnr_best: 6.04310832879465
23-08-21 17:42:27.819 : iteration: 232, psnr: 6.041894397782062, psnr_best: 6.04310832879465
23-08-21 17:42:27.836 : iteration: 233, psnr: 6.039269438698248, psnr_best: 6.04310832879465
23-08-21 17:42:27.854 : iteration: 234, psnr: 6.042114690387378, psnr_best: 6.04310832879465
23-08-21 17:42:27.874 : iteration: 235, psnr: 6.045333056695984, psnr_best: 6.045333056695984
23-08-21 17:42:27.892 : iteration: 236, psnr: 6.043793380279663, psnr_best: 6.045333056695984
23-08-21 17:42:27.912 : iteration: 237, psnr: 6.050243171247365, psnr_best: 6.050243171247365
23-08-21 17:42:27.929 : iteration: 238, psnr: 6.045800999372877, psnr_best: 6.050243171247365
23-08-21 17:42:27.947 : iteration: 239, psnr: 6.044668345918986, psnr_best: 6.050243171247365
23-08-21 17:42:27.966 : iteration: 240, psnr: 6.056595859116539, psnr_best: 6.056595859116539
23-08-21 17:42:27.983 : iteration: 241, psnr: 6.056141697433785, psnr_best: 6.056595859116539
23-08-21 17:42:28.001 : iteration: 242, psnr: 6.0495237887461855, psnr_best: 6.056595859116539
23-08-21 17:42:28.021 : iteration: 243, psnr: 6.058936701168009, psnr_best: 6.058936701168009
23-08-21 17:42:28.039 : iteration: 244, psnr: 6.058760713923725, psnr_best: 6.058936701168009
23-08-21 17:42:28.057 : iteration: 245, psnr: 6.052108241828893, psnr_best: 6.058936701168009
23-08-21 17:42:28.075 : iteration: 246, psnr: 6.05270342809276, psnr_best: 6.058936701168009
23-08-21 17:42:28.092 : iteration: 247, psnr: 6.055746954950669, psnr_best: 6.058936701168009
23-08-21 17:42:28.118 : iteration: 248, psnr: 6.060218957540436, psnr_best: 6.060218957540436
23-08-21 17:42:28.139 : iteration: 249, psnr: 6.06601189836381, psnr_best: 6.06601189836381
23-08-21 17:42:28.157 : iteration: 250, psnr: 6.061946957304847, psnr_best: 6.06601189836381
