23-08-21 17:54:20.964 : Beta-------------------------------->0
23-08-21 17:54:20.965 : Writing to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:20.965 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:26.807 : iteration: 111, psnr: 5.924264091477037, psnr_best: 5.926496839907259
23-08-21 17:54:26.828 : iteration: 112, psnr: 5.930982007853318, psnr_best: 5.930982007853318
23-08-21 17:54:26.845 : iteration: 113, psnr: 5.929061861626941, psnr_best: 5.930982007853318
23-08-21 17:54:26.864 : iteration: 114, psnr: 5.926366606310257, psnr_best: 5.930982007853318
23-08-21 17:54:26.882 : iteration: 115, psnr: 5.929164604995191, psnr_best: 5.930982007853318
23-08-21 17:54:26.900 : iteration: 116, psnr: 5.92651895885993, psnr_best: 5.930982007853318
23-08-21 17:54:26.919 : iteration: 117, psnr: 5.922822830146318, psnr_best: 5.930982007853318
23-08-21 17:54:26.939 : iteration: 118, psnr: 5.931040300785277, psnr_best: 5.931040300785277
23-08-21 17:54:26.957 : iteration: 119, psnr: 5.9258204247028035, psnr_best: 5.931040300785277
23-08-21 17:54:26.982 : iteration: 120, psnr: 5.931338922097979, psnr_best: 5.931338922097979
23-08-21 17:54:27.005 : iteration: 121, psnr: 5.929560541094894, psnr_best: 5.931338922097979
23-08-21 17:54:27.027 : iteration: 122, psnr: 5.9303037113608355, psnr_best: 5.931338922097979
23-08-21 17:54:27.050 : iteration: 123, psnr: 5.932845592070667, psnr_best: 5.932845592070667
23-08-21 17:54:27.070 : iteration: 124, psnr: 5.936409184354442, psnr_best: 5.936409184354442
23-08-21 17:54:27.089 : iteration: 125, psnr: 5.93565079206258, psnr_best: 5.936409184354442
23-08-21 17:54:27.107 : iteration: 126, psnr: 5.935714595684402, psnr_best: 5.936409184354442
23-08-21 17:54:27.125 : iteration: 127, psnr: 5.934212375693478, psnr_best: 5.936409184354442
23-08-21 17:54:27.145 : iteration: 128, psnr: 5.9377044866331525, psnr_best: 5.9377044866331525
23-08-21 17:54:27.164 : iteration: 129, psnr: 5.9350032713801255, psnr_best: 5.9377044866331525
23-08-21 17:54:27.195 : iteration: 130, psnr: 5.940831014596082, psnr_best: 5.940831014596082
23-08-21 17:54:27.215 : iteration: 131, psnr: 5.943467959604733, psnr_best: 5.943467959604733
23-08-21 17:54:27.233 : iteration: 132, psnr: 5.9416867402855, psnr_best: 5.943467959604733
23-08-21 17:54:27.250 : iteration: 133, psnr: 5.941147651261883, psnr_best: 5.943467959604733
23-08-21 17:54:27.276 : iteration: 134, psnr: 5.945167640872476, psnr_best: 5.945167640872476
23-08-21 17:54:27.294 : iteration: 135, psnr: 5.943650576169993, psnr_best: 5.945167640872476
23-08-21 17:54:27.312 : iteration: 136, psnr: 5.941361505085274, psnr_best: 5.945167640872476
23-08-21 17:54:27.333 : iteration: 137, psnr: 5.947077279827495, psnr_best: 5.947077279827495
23-08-21 17:54:27.351 : iteration: 138, psnr: 5.943402822422122, psnr_best: 5.947077279827495
23-08-21 17:54:27.370 : iteration: 139, psnr: 5.947067104171208, psnr_best: 5.947077279827495
23-08-21 17:54:27.390 : iteration: 140, psnr: 5.948135136336708, psnr_best: 5.948135136336708
23-08-21 17:54:27.408 : iteration: 141, psnr: 5.946781324571056, psnr_best: 5.948135136336708
23-08-21 17:54:27.428 : iteration: 142, psnr: 5.9559114926321115, psnr_best: 5.9559114926321115
23-08-21 17:54:27.446 : iteration: 143, psnr: 5.948257978156777, psnr_best: 5.9559114926321115
23-08-21 17:54:27.465 : iteration: 144, psnr: 5.9541088638557484, psnr_best: 5.9559114926321115
23-08-21 17:54:27.484 : iteration: 145, psnr: 5.952533445481915, psnr_best: 5.9559114926321115
23-08-21 17:54:27.502 : iteration: 146, psnr: 5.953788584841325, psnr_best: 5.9559114926321115
23-08-21 17:54:27.522 : iteration: 147, psnr: 5.959906623605246, psnr_best: 5.959906623605246
23-08-21 17:54:27.543 : iteration: 148, psnr: 5.961802689739137, psnr_best: 5.961802689739137
23-08-21 17:54:27.561 : iteration: 149, psnr: 5.9538436957862615, psnr_best: 5.961802689739137
23-08-21 17:54:27.581 : iteration: 150, psnr: 5.96000649344958, psnr_best: 5.961802689739137
23-08-21 17:54:27.605 : iteration: 151, psnr: 5.967237138487414, psnr_best: 5.967237138487414
23-08-21 17:54:27.625 : iteration: 152, psnr: 5.961238504098677, psnr_best: 5.967237138487414
23-08-21 17:54:27.645 : iteration: 153, psnr: 5.962043238829967, psnr_best: 5.967237138487414
23-08-21 17:54:27.664 : iteration: 154, psnr: 5.959597474527059, psnr_best: 5.967237138487414
23-08-21 17:54:27.689 : iteration: 155, psnr: 5.968908862529251, psnr_best: 5.968908862529251
23-08-21 17:54:27.713 : iteration: 156, psnr: 5.963614780286889, psnr_best: 5.968908862529251
23-08-21 17:54:27.733 : iteration: 157, psnr: 5.966922656244185, psnr_best: 5.968908862529251
23-08-21 17:54:27.751 : iteration: 158, psnr: 5.966162234694658, psnr_best: 5.968908862529251
23-08-21 17:54:27.769 : iteration: 159, psnr: 5.9647476436119655, psnr_best: 5.968908862529251
23-08-21 17:54:27.789 : iteration: 160, psnr: 5.9694611074481765, psnr_best: 5.9694611074481765
23-08-21 17:54:27.808 : iteration: 161, psnr: 5.96643307365696, psnr_best: 5.9694611074481765
23-08-21 17:54:27.830 : iteration: 162, psnr: 5.974027043539519, psnr_best: 5.974027043539519
23-08-21 17:54:27.847 : iteration: 163, psnr: 5.971174055877165, psnr_best: 5.974027043539519
23-08-21 17:54:27.866 : iteration: 164, psnr: 5.9695172551194275, psnr_best: 5.974027043539519
23-08-21 17:54:27.884 : iteration: 165, psnr: 5.973477202249829, psnr_best: 5.974027043539519
23-08-21 17:54:27.905 : iteration: 166, psnr: 5.977593821860726, psnr_best: 5.977593821860726
23-08-21 17:54:27.925 : iteration: 167, psnr: 5.973735169794515, psnr_best: 5.977593821860726
23-08-21 17:54:27.943 : iteration: 168, psnr: 5.972957363217697, psnr_best: 5.977593821860726
23-08-21 17:54:27.961 : iteration: 169, psnr: 5.974445368437314, psnr_best: 5.977593821860726
23-08-21 17:54:27.981 : iteration: 170, psnr: 5.978718908209695, psnr_best: 5.978718908209695
23-08-21 17:54:28.017 : iteration: 171, psnr: 5.9707685148996505, psnr_best: 5.978718908209695
23-08-21 17:54:28.036 : iteration: 172, psnr: 5.976362566631295, psnr_best: 5.978718908209695
23-08-21 17:54:28.057 : iteration: 173, psnr: 5.983092804739517, psnr_best: 5.983092804739517
23-08-21 17:54:28.076 : iteration: 174, psnr: 5.983483383686574, psnr_best: 5.983483383686574
23-08-21 17:54:28.098 : iteration: 175, psnr: 5.982022444565633, psnr_best: 5.983483383686574
23-08-21 17:54:28.116 : iteration: 176, psnr: 5.979779915980421, psnr_best: 5.983483383686574
23-08-21 17:54:28.138 : iteration: 177, psnr: 5.989679045121241, psnr_best: 5.989679045121241
23-08-21 17:54:28.156 : iteration: 178, psnr: 5.980101679190779, psnr_best: 5.989679045121241
23-08-21 17:54:28.173 : iteration: 179, psnr: 5.9878835280365905, psnr_best: 5.989679045121241
23-08-21 17:54:28.190 : iteration: 180, psnr: 5.9863151867962205, psnr_best: 5.989679045121241
23-08-21 17:54:28.210 : iteration: 181, psnr: 5.996377705953664, psnr_best: 5.996377705953664
23-08-21 17:54:28.232 : iteration: 182, psnr: 5.98726972473422, psnr_best: 5.996377705953664
23-08-21 17:54:28.251 : iteration: 183, psnr: 5.988856457859242, psnr_best: 5.996377705953664
23-08-21 17:54:28.269 : iteration: 184, psnr: 5.993253922832361, psnr_best: 5.996377705953664
23-08-21 17:54:28.287 : iteration: 185, psnr: 5.995304278325062, psnr_best: 5.996377705953664
23-08-21 17:54:28.304 : iteration: 186, psnr: 5.988637395189819, psnr_best: 5.996377705953664
23-08-21 17:54:28.322 : iteration: 187, psnr: 5.992312530594078, psnr_best: 5.996377705953664
23-08-21 17:54:28.342 : iteration: 188, psnr: 5.992437358119599, psnr_best: 5.996377705953664
23-08-21 17:54:28.362 : iteration: 189, psnr: 5.994073193328608, psnr_best: 5.996377705953664
23-08-21 17:54:28.381 : iteration: 190, psnr: 5.994007541543104, psnr_best: 5.996377705953664
23-08-21 17:54:28.402 : iteration: 191, psnr: 6.000836715263523, psnr_best: 6.000836715263523
23-08-21 17:54:28.419 : iteration: 192, psnr: 6.000487781756725, psnr_best: 6.000836715263523
23-08-21 17:54:28.439 : iteration: 193, psnr: 6.001538601452672, psnr_best: 6.001538601452672
23-08-21 17:54:28.458 : iteration: 194, psnr: 5.996970504059451, psnr_best: 6.001538601452672
23-08-21 17:54:28.475 : iteration: 195, psnr: 6.001316978438348, psnr_best: 6.001538601452672
23-08-21 17:54:28.495 : iteration: 196, psnr: 6.006302790589036, psnr_best: 6.006302790589036
23-08-21 17:54:28.515 : iteration: 197, psnr: 6.009543880780567, psnr_best: 6.009543880780567
23-08-21 17:54:28.533 : iteration: 198, psnr: 6.008483356360445, psnr_best: 6.009543880780567
23-08-21 17:54:28.551 : iteration: 199, psnr: 6.000073035182883, psnr_best: 6.009543880780567
23-08-21 17:54:28.571 : iteration: 200, psnr: 6.008122815119855, psnr_best: 6.009543880780567
23-08-21 17:54:28.590 : iteration: 201, psnr: 6.007432047399432, psnr_best: 6.009543880780567
23-08-21 17:54:28.608 : iteration: 202, psnr: 6.001341425257175, psnr_best: 6.009543880780567
23-08-21 17:54:28.627 : iteration: 203, psnr: 6.006641824338587, psnr_best: 6.009543880780567
23-08-21 17:54:28.645 : iteration: 204, psnr: 6.008573229592767, psnr_best: 6.009543880780567
23-08-21 17:54:28.667 : iteration: 205, psnr: 6.012879815175265, psnr_best: 6.012879815175265
23-08-21 17:54:28.687 : iteration: 206, psnr: 6.010280028572319, psnr_best: 6.012879815175265
23-08-21 17:54:28.705 : iteration: 207, psnr: 6.011951950546521, psnr_best: 6.012879815175265
23-08-21 17:54:28.726 : iteration: 208, psnr: 6.0245082314114855, psnr_best: 6.0245082314114855
23-08-21 17:54:28.744 : iteration: 209, psnr: 6.021036716364204, psnr_best: 6.0245082314114855
